time,day_of_week,event type,date
,Thursday,no football game,2020-06-18
,Friday,no football game,2020-06-19
,Saturday,no football game,2020-06-20
,Sunday,no football game,2020-06-21
,Monday,no football game,2020-06-22
,Tuesday,no football game,2020-06-23
,Wednesday,no football game,2020-06-24
,Thursday,no football game,2020-06-25
,Friday,no football game,2020-06-26
,Saturday,no football game,2020-06-27
,Sunday,no football game,2020-06-28
,Monday,no football game,2020-06-29
,Tuesday,no football game,2020-06-30
,Wednesday,no football game,2020-07-01
,Thursday,no football game,2020-07-02
,Friday,no football game,2020-07-03
,Saturday,no football game,2020-07-04
,Sunday,no football game,2020-07-05
,Monday,no football game,2020-07-06
,Tuesday,no football game,2020-07-07
,Wednesday,no football game,2020-07-08
,Thursday,no football game,2020-07-09
,Friday,no football game,2020-07-10
,Saturday,no football game,2020-07-11
,Sunday,no football game,2020-07-12
,Monday,no football game,2020-07-13
,Tuesday,no football game,2020-07-14
,Wednesday,no football game,2020-07-15
,Thursday,no football game,2020-07-16
,Friday,no football game,2020-07-17
,Saturday,no football game,2020-07-18
,Sunday,no football game,2020-07-19
,Monday,no football game,2020-07-20
,Tuesday,no football game,2020-07-21
,Wednesday,no football game,2020-07-22
,Thursday,no football game,2020-07-23
,Friday,no football game,2020-07-24
,Saturday,no football game,2020-07-25
,Sunday,no football game,2020-07-26
,Monday,no football game,2020-07-27
,Tuesday,no football game,2020-07-28
,Wednesday,no football game,2020-07-29
,Thursday,no football game,2020-07-30
,Friday,no football game,2020-07-31
,Saturday,no football game,2020-08-01
,Sunday,no football game,2020-08-02
,Monday,no football game,2020-08-03
,Tuesday,no football game,2020-08-04
,Wednesday,no football game,2020-08-05
,Thursday,no football game,2020-08-06
,Friday,no football game,2020-08-07
,Saturday,no football game,2020-08-08
,Sunday,no football game,2020-08-09
,Monday,no football game,2020-08-10
,Tuesday,no football game,2020-08-11
,Wednesday,no football game,2020-08-12
,Thursday,no football game,2020-08-13
,Friday,no football game,2020-08-14
,Saturday,no football game,2020-08-15
,Sunday,no football game,2020-08-16
,Monday,no football game,2020-08-17
,Tuesday,no football game,2020-08-18
,Wednesday,no football game,2020-08-19
,Thursday,no football game,2020-08-20
,Friday,no football game,2020-08-21
,Saturday,no football game,2020-08-22
,Sunday,no football game,2020-08-23
,Monday,no football game,2020-08-24
,Tuesday,no football game,2020-08-25
,Wednesday,no football game,2020-08-26
,Thursday,no football game,2020-08-27
,Friday,no football game,2020-08-28
,Saturday,no football game,2020-08-29
,Sunday,no football game,2020-08-30
,Monday,no football game,2020-08-31
,Tuesday,no football game,2020-09-01
,Wednesday,no football game,2020-09-02
,Thursday,no football game,2020-09-03
,Friday,no football game,2020-09-04
,Saturday,no football game,2020-09-05
,Sunday,no football game,2020-09-06
,Monday,no football game,2020-09-07
,Tuesday,no football game,2020-09-08
,Wednesday,no football game,2020-09-09
,Thursday,no football game,2020-09-10
,Friday,no football game,2020-09-11
,Saturday,no football game,2020-09-12
,Sunday,no football game,2020-09-13
,Monday,no football game,2020-09-14
,Tuesday,no football game,2020-09-15
,Wednesday,no football game,2020-09-16
,Thursday,no football game,2020-09-17
,Friday,no football game,2020-09-18
,Saturday,no football game,2020-09-19
,Sunday,no football game,2020-09-20
,Monday,no football game,2020-09-21
,Tuesday,no football game,2020-09-22
,Wednesday,no football game,2020-09-23
,Thursday,no football game,2020-09-24
,Friday,no football game,2020-09-25
,Saturday,no football game,2020-09-26
,Sunday,no football game,2020-09-27
,Monday,no football game,2020-09-28
,Tuesday,no football game,2020-09-29
,Wednesday,no football game,2020-09-30
,Thursday,no football game,2020-10-01
,Friday,no football game,2020-10-02
,Saturday,no football game,2020-10-03
,Sunday,no football game,2020-10-04
,Monday,no football game,2020-10-05
,Tuesday,no football game,2020-10-06
,Wednesday,no football game,2020-10-07
,Thursday,no football game,2020-10-08
,Friday,no football game,2020-10-09
,Saturday,no football game,2020-10-10
,Sunday,no football game,2020-10-11
,Monday,no football game,2020-10-12
,Tuesday,no football game,2020-10-13
,Wednesday,no football game,2020-10-14
,Thursday,no football game,2020-10-15
,Friday,no football game,2020-10-16
,Saturday,no football game,2020-10-17
,Sunday,no football game,2020-10-18
,Monday,no football game,2020-10-19
,Tuesday,no football game,2020-10-20
,Wednesday,no football game,2020-10-21
,Thursday,no football game,2020-10-22
,Friday,no football game,2020-10-23
,Saturday,no football game,2020-10-24
,Sunday,no football game,2020-10-25
,Monday,no football game,2020-10-26
,Tuesday,no football game,2020-10-27
,Wednesday,no football game,2020-10-28
,Thursday,no football game,2020-10-29
,Friday,no football game,2020-10-30
,Saturday,no football game,2020-10-31
,Sunday,no football game,2020-11-01
,Monday,no football game,2020-11-02
,Tuesday,no football game,2020-11-03
,Wednesday,no football game,2020-11-04
,Thursday,no football game,2020-11-05
,Friday,no football game,2020-11-06
,Saturday,no football game,2020-11-07
,Sunday,no football game,2020-11-08
,Monday,no football game,2020-11-09
,Tuesday,no football game,2020-11-10
,Wednesday,no football game,2020-11-11
,Thursday,no football game,2020-11-12
,Friday,no football game,2020-11-13
20:00:00,Saturday,football game,2020-11-14
,Sunday,no football game,2020-11-15
,Monday,no football game,2020-11-16
,Tuesday,no football game,2020-11-17
,Wednesday,no football game,2020-11-18
,Thursday,no football game,2020-11-19
,Friday,no football game,2020-11-20
17:00:00,Saturday,football game,2020-11-21
,Sunday,no football game,2020-11-22
,Monday,no football game,2020-11-23
,Tuesday,no football game,2020-11-24
,Wednesday,no football game,2020-11-25
,Thursday,no football game,2020-11-26
,Friday,no football game,2020-11-27
16:30:00,Saturday,football game,2020-11-28
,Sunday,no football game,2020-11-29
,Monday,no football game,2020-11-30
,Tuesday,no football game,2020-12-01
,Wednesday,no football game,2020-12-02
,Thursday,no football game,2020-12-03
,Friday,no football game,2020-12-04
13:00:00,Saturday,football game,2020-12-05
,Sunday,no football game,2020-12-06
,Monday,no football game,2020-12-07
,Tuesday,no football game,2020-12-08
,Wednesday,no football game,2020-12-09
,Thursday,no football game,2020-12-10
,Friday,no football game,2020-12-11
,Saturday,no football game,2020-12-12
,Sunday,no football game,2020-12-13
,Monday,no football game,2020-12-14
,Tuesday,no football game,2020-12-15
,Wednesday,no football game,2020-12-16
,Thursday,no football game,2020-12-17
,Friday,no football game,2020-12-18
,Saturday,no football game,2020-12-19
,Sunday,no football game,2020-12-20
,Monday,no football game,2020-12-21
,Tuesday,no football game,2020-12-22
,Wednesday,no football game,2020-12-23
,Thursday,no football game,2020-12-24
,Friday,no football game,2020-12-25
,Saturday,no football game,2020-12-26
,Sunday,no football game,2020-12-27
,Monday,no football game,2020-12-28
,Tuesday,no football game,2020-12-29
,Wednesday,no football game,2020-12-30
,Thursday,no football game,2020-12-31
,Friday,no football game,2021-01-01
,Saturday,no football game,2021-01-02
,Sunday,no football game,2021-01-03
,Monday,no football game,2021-01-04
,Tuesday,no football game,2021-01-05
,Wednesday,no football game,2021-01-06
,Thursday,no football game,2021-01-07
,Friday,no football game,2021-01-08
,Saturday,no football game,2021-01-09
,Sunday,no football game,2021-01-10
,Monday,no football game,2021-01-11
,Tuesday,no football game,2021-01-12
,Wednesday,no football game,2021-01-13
,Thursday,no football game,2021-01-14
,Friday,no football game,2021-01-15
,Saturday,no football game,2021-01-16
,Sunday,no football game,2021-01-17
,Monday,no football game,2021-01-18
,Tuesday,no football game,2021-01-19
,Wednesday,no football game,2021-01-20
,Thursday,no football game,2021-01-21
,Friday,no football game,2021-01-22
,Saturday,no football game,2021-01-23
,Sunday,no football game,2021-01-24
,Monday,no football game,2021-01-25
,Tuesday,no football game,2021-01-26
,Wednesday,no football game,2021-01-27
,Thursday,no football game,2021-01-28
,Friday,no football game,2021-01-29
,Saturday,no football game,2021-01-30
,Sunday,no football game,2021-01-31
,Monday,no football game,2021-02-01
,Tuesday,no football game,2021-02-02
,Wednesday,no football game,2021-02-03
,Thursday,no football game,2021-02-04
,Friday,no football game,2021-02-05
,Saturday,no football game,2021-02-06
,Sunday,no football game,2021-02-07
,Monday,no football game,2021-02-08
,Tuesday,no football game,2021-02-09
,Wednesday,no football game,2021-02-10
,Thursday,no football game,2021-02-11
,Friday,no football game,2021-02-12
,Saturday,no football game,2021-02-13
,Sunday,no football game,2021-02-14
,Monday,no football game,2021-02-15
,Tuesday,no football game,2021-02-16
,Wednesday,no football game,2021-02-17
,Thursday,no football game,2021-02-18
,Friday,no football game,2021-02-19
,Saturday,no football game,2021-02-20
,Sunday,no football game,2021-02-21
,Monday,no football game,2021-02-22
,Tuesday,no football game,2021-02-23
,Wednesday,no football game,2021-02-24
,Thursday,no football game,2021-02-25
,Friday,no football game,2021-02-26
,Saturday,no football game,2021-02-27
,Sunday,no football game,2021-02-28
,Monday,no football game,2021-03-01
,Tuesday,no football game,2021-03-02
,Wednesday,no football game,2021-03-03
,Thursday,no football game,2021-03-04
,Friday,no football game,2021-03-05
,Saturday,no football game,2021-03-06
,Sunday,no football game,2021-03-07
,Monday,no football game,2021-03-08
,Tuesday,no football game,2021-03-09
,Wednesday,no football game,2021-03-10
,Thursday,no football game,2021-03-11
,Friday,no football game,2021-03-12
,Saturday,no football game,2021-03-13
,Sunday,no football game,2021-03-14
,Monday,no football game,2021-03-15
,Tuesday,no football game,2021-03-16
,Wednesday,no football game,2021-03-17
,Thursday,no football game,2021-03-18
,Friday,no football game,2021-03-19
,Saturday,no football game,2021-03-20
,Sunday,no football game,2021-03-21
,Monday,no football game,2021-03-22
,Tuesday,no football game,2021-03-23
,Wednesday,no football game,2021-03-24
,Thursday,no football game,2021-03-25
,Friday,no football game,2021-03-26
,Saturday,no football game,2021-03-27
